# Binance official API catalog snapshot
# baseline_date: 2026-08-10
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# source_catalog_sha256: 44fa6608f682b03358e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# source_detail_sha256: 2edabba856125f393ea3e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	authentication	risk	lifecycle	exposure
Futures (COIN-M) REST	Http	GET	/dapi/v1/ping	testConnectivity	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/ticker/24hr	ticker24hrPriceChangeStatistics	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/futures/data/topLongShortAccountRatio	topTraderLongShortRatioAccounts	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/futures/data/topLongShortPositionRatio	topTraderLongShortRatioPositions	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	PUT	/dapi/v1/listenKey	keepaliveUserDataStream	USER_STREAM	AccountWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/listenKey	startUserDataStream	USER_STREAM	AccountWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	DELETE	/dapi/v1/listenKey	closeUserDataStream	USER_STREAM	AccountWrite	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/account.status	accountInformation	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/account.balance	futuresAccountBalance	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/order.cancel	cancelOrder	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/order.modify	modifyOrder	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/order.place	newOrder	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/account.position	positionInformation	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/order.status	queryOrder	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/userDataStream.stop	closeUserDataStream	USER_STREAM	AccountWrite	documented_active	provider_typed
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/userDataStream.ping	keepaliveUserDataStream	USER_STREAM	AccountWrite	documented_active	provider_typed
